#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.37 aq:21.56 tex:284639 mv:112200 misc:6393 imb:8160 pmb:0 smb:0 d:- ref:;
in:75 out:72 type:P dur:2 cpbdur:2 q:42.94 aq:37.45 tex:108675 mv:26621 misc:6104 imb:515 pmb:3032 smb:4613 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:43.18 aq:40.08 tex:10186 mv:10312 misc:3942 imb:26 pmb:1063 smb:7071 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:43.30 aq:41.56 tex:1302 mv:2559 misc:1851 imb:7 pmb:323 smb:7830 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:43.06 aq:41.02 tex:2285 mv:3571 misc:2512 imb:11 pmb:478 smb:7671 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:42.48 aq:36.79 tex:120609 mv:29364 misc:6387 imb:613 pmb:3339 smb:4208 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:42.71 aq:40.47 tex:11882 mv:11609 misc:4293 imb:32 pmb:1208 smb:6920 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:42.82 aq:42.09 tex:2077 mv:3919 misc:2308 imb:11 pmb:450 smb:7699 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:42.59 aq:40.87 tex:2609 mv:4390 misc:2617 imb:12 pmb:536 smb:7612 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:42.06 aq:36.53 tex:126820 mv:29768 misc:6452 imb:657 pmb:3475 smb:4028 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:42.27 aq:38.91 tex:11820 mv:11270 misc:4374 imb:31 pmb:1247 smb:6882 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:42.37 aq:40.61 tex:2517 mv:3572 misc:2407 imb:6 pmb:452 smb:7702 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:42.17 aq:40.95 tex:3023 mv:4037 misc:2724 imb:13 pmb:548 smb:7599 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:41.68 aq:36.21 tex:145923 mv:31159 misc:6502 imb:673 pmb:3745 smb:3742 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:41.87 aq:38.80 tex:16196 mv:12988 misc:4848 imb:40 pmb:1477 smb:6643 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:41.97 aq:40.75 tex:3603 mv:5516 misc:2977 imb:13 pmb:677 smb:7470 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:41.78 aq:40.52 tex:4439 mv:6074 misc:3271 imb:11 pmb:775 smb:7374 d:- ref:0 ;
