#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=33505 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.90 aq:11.11 tex:1076845 mv:161380 misc:6287 imb:8160 pmb:0 smb:0 d:- ref:;
in:77 out:77 type:B dur:2 cpbdur:2 q:34.82 aq:31.68 tex:198749 mv:30791 misc:6588 imb:231 pmb:4441 smb:3488 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:34.80 aq:32.60 tex:104125 mv:23182 misc:6845 imb:166 pmb:3446 smb:4548 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:34.84 aq:32.54 tex:102940 mv:23249 misc:6811 imb:160 pmb:3565 smb:4435 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:34.80 aq:29.64 tex:847284 mv:45260 misc:2736 imb:841 pmb:6496 smb:823 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:34.83 aq:31.53 tex:191651 mv:31863 misc:6854 imb:209 pmb:4523 smb:3428 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:34.85 aq:32.51 tex:98472 mv:22195 misc:6797 imb:155 pmb:3318 smb:4687 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:34.81 aq:32.53 tex:99787 mv:22112 misc:6845 imb:115 pmb:3540 smb:4505 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:34.64 aq:29.44 tex:908073 mv:46017 misc:2614 imb:806 pmb:6623 smb:731 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:34.72 aq:31.54 tex:208745 mv:32904 misc:6951 imb:232 pmb:4659 smb:3269 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:34.76 aq:32.55 tex:104292 mv:23573 misc:6967 imb:134 pmb:3611 smb:4415 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:34.68 aq:32.43 tex:110927 mv:22233 misc:6824 imb:150 pmb:3568 smb:4442 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:34.46 aq:29.31 tex:941081 mv:45553 misc:2510 imb:846 pmb:6663 smb:651 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:34.55 aq:31.34 tex:230617 mv:32965 misc:6802 imb:225 pmb:4824 smb:3111 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:34.60 aq:32.25 tex:117969 mv:24271 misc:7032 imb:178 pmb:3685 smb:4297 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:34.50 aq:32.25 tex:118021 mv:23586 misc:7017 imb:175 pmb:3709 smb:4276 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:34.26 aq:29.17 tex:953462 mv:46245 misc:2525 imb:835 pmb:6715 smb:610 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:34.36 aq:31.23 tex:237690 mv:33519 misc:6647 imb:243 pmb:4827 smb:3090 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:34.41 aq:32.10 tex:123593 mv:24358 misc:6905 imb:190 pmb:3670 smb:4300 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:34.31 aq:32.00 tex:129801 mv:24152 misc:7039 imb:174 pmb:3854 smb:4132 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:34.07 aq:29.10 tex:960857 mv:45994 misc:2389 imb:852 pmb:6755 smb:553 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:34.17 aq:30.95 tex:257873 mv:33818 misc:6629 imb:253 pmb:5054 smb:2853 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:34.21 aq:32.06 tex:138239 mv:24502 misc:6787 imb:195 pmb:3747 smb:4218 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:34.12 aq:31.94 tex:147535 mv:24338 misc:7119 imb:193 pmb:4012 smb:3955 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:33.90 aq:29.13 tex:941394 mv:45499 misc:2419 imb:844 pmb:6747 smb:569 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:33.99 aq:30.75 tex:287404 mv:35493 misc:6479 imb:303 pmb:5178 smb:2679 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:34.03 aq:31.58 tex:154318 mv:27212 misc:7038 imb:220 pmb:3995 smb:3945 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:33.95 aq:31.60 tex:157657 mv:25959 misc:6968 imb:204 pmb:4047 smb:3909 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:33.76 aq:29.41 tex:862649 mv:44660 misc:2611 imb:913 pmb:6653 smb:594 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:33.83 aq:30.66 tex:322804 mv:34980 misc:6448 imb:287 pmb:5265 smb:2608 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:33.87 aq:31.53 tex:165458 mv:26563 misc:6963 imb:222 pmb:4012 smb:3926 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:33.79 aq:31.46 tex:182134 mv:27655 misc:6931 imb:245 pmb:4200 smb:3715 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:33.62 aq:30.24 tex:627063 mv:42023 misc:4066 imb:905 pmb:6163 smb:1092 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:33.69 aq:30.60 tex:351733 mv:38162 misc:6217 imb:303 pmb:5491 smb:2366 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:33.72 aq:31.44 tex:185196 mv:27937 misc:6835 imb:246 pmb:4104 smb:3810 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:33.65 aq:31.35 tex:192843 mv:27311 misc:6894 imb:231 pmb:4279 smb:3650 d:- ref:0 ;
in:113 out:112 type:P dur:2 cpbdur:2 q:33.49 aq:31.28 tex:343583 mv:31821 misc:6092 imb:768 pmb:4847 smb:2545 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:33.56 aq:31.41 tex:211875 mv:27194 misc:6867 imb:254 pmb:4475 smb:3431 d:- ref:0 ;
in:114 out:114 type:I dur:2 cpbdur:2 q:30.38 aq:26.70 tex:2843325 mv:272203 misc:680 imb:8160 pmb:0 smb:0 d:- ref:;
in:118 out:115 type:P dur:2 cpbdur:2 q:33.42 aq:29.72 tex:1445114 mv:63006 misc:944 imb:4989 pmb:3054 smb:117 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:33.42 aq:30.33 tex:739613 mv:80059 misc:3376 imb:1312 pmb:5936 smb:912 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:33.42 aq:30.99 tex:465607 mv:60492 misc:4677 imb:805 pmb:5969 smb:1386 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:33.42 aq:31.01 tex:452392 mv:60197 misc:4579 imb:611 pmb:6214 smb:1335 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:33.13 aq:29.46 tex:1450374 mv:69133 misc:957 imb:4198 pmb:3866 smb:96 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:33.27 aq:30.04 tex:751479 mv:77976 misc:3241 imb:993 pmb:6359 smb:808 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:33.35 aq:30.87 tex:452621 mv:56779 misc:4704 imb:599 pmb:6163 smb:1398 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:33.20 aq:30.62 tex:484887 mv:56392 misc:4241 imb:615 pmb:6409 smb:1136 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:32.81 aq:29.19 tex:1558852 mv:73413 misc:711 imb:4085 pmb:4040 smb:35 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:32.97 aq:29.78 tex:827336 mv:83722 misc:2846 imb:1079 pmb:6469 smb:612 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:33.05 aq:30.48 tex:521224 mv:63424 misc:4072 imb:640 pmb:6436 smb:1084 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:32.89 aq:30.37 tex:580908 mv:64609 misc:3787 imb:729 pmb:6509 smb:922 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:32.48 aq:28.86 tex:1715254 mv:73154 misc:560 imb:4200 pmb:3953 smb:7 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:32.65 aq:29.51 tex:936404 mv:88070 misc:2230 imb:1262 pmb:6490 smb:408 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:32.73 aq:30.30 tex:623969 mv:68521 misc:3526 imb:788 pmb:6539 smb:833 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:32.57 aq:30.07 tex:673502 mv:70267 misc:3207 imb:860 pmb:6580 smb:720 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:32.66 aq:28.90 tex:1718594 mv:70997 misc:649 imb:4408 pmb:3742 smb:10 d:- ref:0 ;
